pitches;start;end;velocity;start_diff
55;1.5;1.5;84;
55;1.85294;1.85294;96;0.35294
64;2.20588;2.20588;89;0.35294
62;2.55882;2.55882;90;0.35294
60;2.91176;2.91176;93;0.35294
55;3.2647;3.2647;96;0.35294
55;4.32352;4.32352;102;1.05882
55;4.67646;4.67646;99;0.35294
64;5.0294;5.0294;90;0.35294
62;5.38234;5.38234;88;0.35294
60;5.73528;5.73528;94;0.35294
57;6.08822;6.08822;102;0.35294
57;7.14704;7.14704;96;1.05882
57;7.49998;7.49998;97;0.35294
65;7.85292;7.85292;94;0.35294
64;8.20586;8.20586;95;0.35294
62;8.5588;8.5588;91;0.35294
59;8.91174;8.91174;99;0.35294
67;10.3235;10.3235;110;1.41176
59;10.3235;10.3235;101;0
67;10.67644;10.67644;101;0.35294
65;11.02938;11.02938;91;0.35294
62;11.38232;11.38232;90;0.35294
64;11.73526;11.73526;103;0.35294
60;11.73526;11.73526;99;0
55;12.79408;12.79408;91;1.05882
55;13.14702;13.14702;89;0.35294
64;13.49996;13.49996;90;0.35294
62;13.8529;13.8529;90;0.35294
60;14.20584;14.20584;87;0.35294
55;14.55878;14.55878;99;0.35294
55;15.6176;15.6176;97;1.05882
55;15.97054;15.97054;98;0.35294
64;16.32348;16.32348;90;0.35294
62;16.67642;16.67642;89;0.35294
60;17.02936;17.02936;89;0.35294
57;17.3823;17.3823;101;0.35294
57;18.44112;18.44112;97;1.05882
57;18.79406;18.79406;100;0.35294
65;19.147;19.147;88;0.35294
64;19.49994;19.49994;94;0.35294
62;19.85288;19.85288;88;0.35294
67;20.20582;20.20582;111;0.35294
59;20.20582;20.20582;101;0
67;20.55876;20.55876;104;0.35294
67;20.9117;20.9117;99;0.35294
67;21.26464;21.26464;101;0.35294
59;21.61758;21.61758;103;0.35294
69;21.61758;21.61758;111;0
67;21.97052;21.97052;100;0.35294
65;22.32346;22.32346;101;0.35294
62;22.6764;22.6764;91;0.35294
60;23.02934;23.02934;113;0.35294
67;23.73522;23.73522;107;0.70588
64;24.4411;24.4411;104;0.70588
60;24.4411;24.4411;103;0
64;24.79404;24.79404;112;0.35294
64;25.14698;25.14698;109;0.35294
55;25.14698;25.14698;106;0
64;25.85286;25.85286;114;0.70588
60;25.85286;25.85286;127;0
64;26.2058;26.2058;115;0.35294
64;26.55874;26.55874;114;0.35294
55;26.55874;26.55874;114;0
60;27.26462;27.26462;127;0.70588
64;27.26462;27.26462;114;0
67;27.61756;27.61756;121;0.35294
60;27.9705;27.9705;96;0.35294
55;27.9705;27.9705;110;0
62;28.32344;28.32344;115;0.35294
60;28.67638;28.67638;127;0.35294
64;28.67638;28.67638;115;0
55;29.38226;29.38226;104;0.70588
65;30.08814;30.08814;117;0.70588
59;30.08814;30.08814;121;0
65;30.44108;30.44108;111;0.35294
65;30.79402;30.79402;111;0.35294
55;30.79402;30.79402;106;0
65;31.14696;31.14696;113;0.35294
65;31.4999;31.4999;115;0.35294
60;31.4999;31.4999;120;0
64;31.85284;31.85284;106;0.35294
55;32.20578;32.20578;109;0.35294
64;32.20578;32.20578;116;0
64;32.55872;32.55872;118;0.35294
64;32.91166;32.91166;118;0.35294
54;32.91166;32.91166;109;0
62;33.2646;33.2646;112;0.35294
62;33.61754;33.61754;111;0.35294
64;33.97048;33.97048;119;0.35294
62;34.32342;34.32342;108;0.35294
55;34.32342;34.32342;117;0
67;35.0293;35.0293;127;0.70588
64;35.73518;35.73518;109;0.70588
60;35.73518;35.73518;127;0
64;36.08812;36.08812;108;0.35294
64;36.44106;36.44106;112;0.35294
55;36.44106;36.44106;110;0
64;37.14694;37.14694;111;0.70588
60;37.14694;37.14694;127;0
64;37.49988;37.49988;113;0.35294
64;37.85282;37.85282;108;0.35294
55;37.85282;37.85282;110;0
64;38.5587;38.5587;115;0.70588
60;38.5587;38.5587;127;0
67;38.91164;38.91164;126;0.35294
60;39.26458;39.26458;92;0.35294
55;39.26458;39.26458;109;0
62;39.61752;39.61752;119;0.35294
60;39.97046;39.97046;126;0.35294
64;39.97046;39.97046;122;0
55;40.67634;40.67634;108;0.70588
65;41.38222;41.38222;118;0.70588
59;41.38222;41.38222;119;0
65;41.73516;41.73516;115;0.35294
55;42.0881;42.0881;110;0.35294
65;42.0881;42.0881;110;0
65;42.44104;42.44104;112;0.35294
65;42.79398;42.79398;107;0.35294
60;42.79398;42.79398;127;0
64;43.14692;43.14692;103;0.35294
64;43.49986;43.49986;112;0.35294
55;43.49986;43.49986;107;0
64;43.8528;43.8528;111;0.35294
55;44.20574;44.20574;118;0.35294
67;44.20574;44.20574;122;0
67;44.55868;44.55868;113;0.35294
55;44.55868;44.55868;113;0
57;44.91162;44.91162;115;0.35294
65;44.91162;44.91162;111;0
62;45.26456;45.26456;99;0.35294
59;45.26456;45.26456;117;0
60;45.6175;45.6175;103;0.35294
60;45.6175;45.6175;117;0
