Pitch (MIDI),Time (s),Max Intensity,Max Intensity change,Pitch-duration (s)
64.0,0.0,0.11674716,1.298307684442792,0.13930034637451172
76.0,4.669990062713623,0.19362625,2.146796226501465,4.530689716339111
64.0,4.706196069717407,0.21933188,1.1327589750289917,0.06994247436523438
45.0,4.779093265533447,0.15448052,1.0958815813064575,0.14096760749816895
36.0,4.919970512390137,0.081606515,0.9296904802322388,0.06997299194335938
62.0,5.198291063308716,0.084664695,1.3915269374847412,0.7206015586853027
60.0,5.708248615264893,0.10473751,1.7117409706115723,0.24895238876342773
48.0,6.220223903656006,0.07766478,1.5096431970596313,0.28084707260131836
57.0,6.248786449432373,0.19238305,2.092219352722168,2.521270513534546
46.0,8.81887173652649,0.20806727,1.0815260410308838,0.01973271369934082
65.0,8.849375009536743,0.19887143,0.9911913871765137,0.07010626792907715
46.0,8.918974876403809,0.2193987,1.162718415260315,0.3297576904296875
65.0,9.238734006881714,0.20789297,1.0344548225402832,0.01999831199645996
64.0,9.258718967437744,0.21669473,1.086300015449524,0.16002988815307617
45.0,9.42872428894043,0.1874863,1.2323179244995117,0.3300321102142334
43.0,9.749629735946655,0.075112805,1.2022268772125244,0.07024693489074707
59.0,12.328736066818237,0.0729442,1.2321826219558716,2.5798051357269287
67.0,13.645266056060791,0.2262008,1.599610447883606,1.6662044525146484
55.0,14.254942655563354,0.06342374,1.2555073499679565,0.20989012718200684
67.0,14.274931907653809,0.2237841,2.353480815887451,0.5844168663024902
65.0,14.879294872283936,0.109601006,1.6085448265075684,0.19004344940185547
62.0,15.369341373443604,0.23134378,2.1732447147369385,0.5298025608062744
63.0,15.929230690002441,0.21002744,1.3475115299224854,0.030086755752563477
64.0,15.94871187210083,0.18837367,1.0194212198257446,0.2760505676269531
