Pitch (MIDI),Start Time (s),Time difference (s),Max Intensity,Max Intensity change,Pitch-duration (s),Lines recorded
55.0,3.090442657470703,,0.28375453,2.5106754193108727,3.2704622745513916,9
64.0,3.990475654602051,0.9000329971313477,0.30809578,3.8729093074798584,0.9496438503265381,11
62.0,4.690453767776489,0.6999781131744385,0.076228924,1.4242950677871704,0.4930274486541748,2
60.0,5.33997654914856,0.6495227813720703,0.12826885,1.4273477792739868,0.8370890617370605,10
55.0,6.502071857452393,1.162095308303833,0.126198,2.2715530395507812,0.9518492221832275,1
55.0,6.520500898361206,0.018429040908813477,0.2628533,2.082864284515381,0.25839781761169434,11
55.0,8.26132845878601,1.7408275604248047,0.22913638,2.0732054710388184,2.2198333740234375,12
64.0,9.570300102233887,1.308971643447876,0.10408629,1.950954794883728,0.5899970531463623,1
64.0,9.589870929718018,0.01957082748413086,0.31533515,2.5650458335876465,0.25034451484680176,11
62.0,10.289862394332886,0.6999914646148682,0.11503355,1.4828156232833862,0.6302490234375,8
60.0,10.960008382797241,0.6701459884643555,0.058907337,1.148419737815857,0.5091147422790527,1
60.0,10.980103969573975,0.0200955867767334,0.14319654,2.229055166244507,0.2304549217224121,10
57.0,11.700013875961304,0.7199099063873291,0.13238509,1.382591962814331,0.7700669765472412,12
